Cooling scheme,formula: T_current = T_begin - current_iteration * (T_begin - T_end) / total_iterations
1443,85.7242
1444,85.7143
1445,85.70439999999999
1446,85.6945
1447,85.6846
1448,85.6747
1449,85.6648
1450,85.6549
1451,85.645
1452,85.6351
1453,85.6252
1454,85.6153
1455,85.6054
1456,85.5955
1457,85.5856
1458,85.5757
1459,85.5658
1460,85.5559
1461,85.54599999999999
1462,85.5361
1463,85.5262
1464,85.5163
1465,85.5064
1466,85.4965
1467,85.4866
1468,85.4767
1469,85.4668
1470,85.4569
1471,85.447
1472,85.4371
1473,85.4272
1474,85.4173
1475,85.4074
1476,85.39750000000001
1477,85.3876
1478,85.3777
1479,85.3678
1480,85.3579
1481,85.348
1482,85.3381
1483,85.3282
1484,85.3183
1485,85.3084
1486,85.2985
1487,85.2886
1488,85.2787
1489,85.2688
1490,85.2589
1491,85.249
1492,85.23910000000001
1493,85.2292
1494,85.2193
1495,85.2094
1496,85.1995
1497,85.1896
1498,85.1797
1499,85.1698
1500,85.1599
1501,85.15
1502,85.1401
1503,85.1302
1504,85.1203
1505,85.1104
1506,85.1005
1507,85.0906
1508,85.08070000000001
1509,85.0708
1510,85.0609
1511,85.051
1512,85.0411
1513,85.0312
1514,85.0213
1515,85.0114
1516,85.0015
1517,84.9916
1518,84.9817
1519,84.9718
1520,84.9619
1521,84.952
1522,84.9421
1523,84.9322
1524,84.9223
1525,84.9124
1526,84.9025
1527,84.8926
1528,84.8827
1529,84.8728
1530,84.8629
1531,84.853
1532,84.84309999999999
1533,84.8332
1534,84.8233
1535,84.8134
1536,84.8035
1537,84.7936
1538,84.7837
1539,84.7738
1540,84.7639
1541,84.754
1542,84.7441
1543,84.7342
1544,84.7243
1545,84.7144
1546,84.7045
1547,84.6946
1548,84.68469999999999
1549,84.6748
1550,84.6649
1551,84.655
1552,84.6451
1553,84.6352
1554,84.6253
1555,84.6154
1556,84.6055
1557,84.5956
1558,84.5857
1559,84.5758
1560,84.5659
1561,84.556
1562,84.5461
1563,84.5362
1564,84.5263
1565,84.5164
1566,84.5065
1567,84.4966
1568,84.4867
1569,84.4768
1570,84.4669
1571,84.457
1572,84.4471
1573,84.4372
1574,84.4273
1575,84.4174
1576,84.4075
1577,84.3976
1578,84.3877
1579,84.37780000000001
1580,84.3679
1581,84.358
1582,84.3481
1583,84.3382
1584,84.3283
1585,84.3184
1586,84.3085
1587,84.2986
1588,84.2887
1589,84.2788
1590,84.2689
1591,84.259
1592,84.2491
1593,84.2392
1594,84.2293
1595,84.21940000000001
1596,84.2095
1597,84.1996
1598,84.1897
1599,84.1798
1600,84.1699
1601,84.16
1602,84.1501
1603,84.1402
1604,84.1303
1605,84.1204
1606,84.1105
1607,84.1006
1608,84.0907
1609,84.0808
1610,84.0709
1611,84.061
1612,84.0511
1613,84.0412
1614,84.0313
1615,84.0214
1616,84.0115
1617,84.0016
1618,83.99170000000001
1619,83.98179999999999
1620,83.9719
1621,83.962
1622,83.9521
1623,83.9422
1624,83.9323
1625,83.9224
1626,83.9125
1627,83.9026
1628,83.8927
1629,83.8828
1630,83.8729
1631,83.863
1632,83.8531
1633,83.8432
1634,83.83330000000001
1635,83.82339999999999
1636,83.8135
1637,83.8036
1638,83.7937
1639,83.7838
1640,83.7739
1641,83.764
1642,83.7541
1643,83.7442
1644,83.7343
1645,83.7244
1646,83.7145
1647,83.7046
1648,83.6947
1649,83.6848
1650,83.67490000000001
1651,83.66499999999999
1652,83.6551
1653,83.6452
1654,83.6353
1655,83.6254
1656,83.6155
1657,83.6056
1658,83.5957
1659,83.5858
1660,83.5759
1661,83.566
1662,83.5561
1663,83.5462
1664,83.5363
1665,83.5264
1666,83.51650000000001
1667,83.50659999999999
1668,83.4967
1669,83.4868
1670,83.4769
1671,83.467
1672,83.4571
1673,83.4472
1674,83.4373
1675,83.4274
1676,83.4175
1677,83.4076
1678,83.3977
1679,83.3878
1680,83.3779
1681,83.368
1682,83.35810000000001
1683,83.34819999999999
1684,83.3383
1685,83.3284
1686,83.3185
1687,83.3086
1688,83.2987
1689,83.2888
1690,83.2789
1691,83.269
1692,83.2591
1693,83.2492
1694,83.2393
1695,83.2294
1696,83.2195
1697,83.2096
1698,83.1997
1699,83.1898
1700,83.1799
1701,83.17
1702,83.1601
1703,83.1502
1704,83.1403
1705,83.13040000000001
1706,83.12049999999999
1707,83.1106
1708,83.1007
1709,83.0908
1710,83.0809
1711,83.071
1712,83.0611
1713,83.0512
1714,83.0413
1715,83.0314
1716,83.0215
1717,83.0116
1718,83.0017
1719,82.9918
1720,82.9819
1721,82.97200000000001
1722,82.96209999999999
1723,82.9522
1724,82.9423
1725,82.9324
1726,82.9225
1727,82.9126
1728,82.9027
1729,82.8928
1730,82.8829
1731,82.873
1732,82.8631
1733,82.8532
1734,82.8433
1735,82.8334
1736,82.8235
1737,82.81360000000001
1738,82.80369999999999
1739,82.7938
1740,82.7839
1741,82.774
1742,82.7641
1743,82.7542
1744,82.7443
1745,82.7344
1746,82.7245
1747,82.7146
1748,82.7047
1749,82.6948
1750,82.6849
1751,82.675
1752,82.6651
1753,82.65520000000001
1754,82.64529999999999
1755,82.6354
1756,82.6255
1757,82.6156
1758,82.6057
1759,82.5958
1760,82.5859
1761,82.576
1762,82.5661
1763,82.5562
1764,82.5463
1765,82.5364
1766,82.5265
1767,82.5166
1768,82.5067
1769,82.49680000000001
1770,82.48689999999999
1771,82.477
1772,82.4671
1773,82.4572
1774,82.4473
1775,82.4374
1776,82.4275
1777,82.4176
1778,82.4077
1779,82.3978
1780,82.3879
1781,82.378
1782,82.3681
1783,82.3582
1784,82.3483
1785,82.33840000000001
1786,82.32849999999999
1787,82.3186
1788,82.3087
1789,82.2988
1790,82.2889
1791,82.279
1792,82.26910000000001
1793,82.25919999999999
1794,82.2493
1795,82.2394
1796,82.2295
1797,82.2196
1798,82.2097
1799,82.1998
1800,82.1899
1801,82.18
1802,82.1701
1803,82.1602
1804,82.1503
1805,82.1404
1806,82.1305
1807,82.1206
1808,82.11070000000001
1809,82.10079999999999
1810,82.0909
1811,82.081
1812,82.0711
1813,82.0612
1814,82.0513
1815,82.0414
1816,82.0315
1817,82.0216
1818,82.0117
1819,82.0018
1820,81.9919
1821,81.982
1822,81.9721
1823,81.9622
1824,81.95230000000001
1825,81.94239999999999
1826,81.9325
1827,81.9226
1828,81.9127
1829,81.9028
1830,81.8929
1831,81.883
1832,81.8731
1833,81.8632
1834,81.8533
1835,81.8434
1836,81.8335
1837,81.8236
1838,81.8137
1839,81.8038
