Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 5, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
869,-19.8,0.875
870,-19.8,1.225
871,-19.8,0.925
872,-19.8,1.725
873,-19.8,1.2
874,-19.8,1.475
875,-19.8,1.4
876,-19.8,1.2
877,-19.8,1.325
878,-19.8,1.125
879,-19.8,1.275
880,-19.8,1.75
881,-19.8,1.025
882,-19.8,1.3
883,-19.8,1.575
884,-19.8,1.65
885,-19.8,1.325
886,-19.8,1.125
887,-19.8,1.325
888,-19.8,0.9
889,-19.8,1.4
890,-19.8,1.25
891,-19.8,1.75
892,-19.825,1.55
893,-19.825,1.5
894,-19.825,0.9
895,-19.825,0.975
896,-19.825,0.6
897,-19.825,1.2
898,-19.825,1.375
899,-19.825,1.875
900,-19.825,1.675
901,-19.825,0.95
902,-19.825,1.225
903,-19.825,1.6
904,-19.825,0.95
905,-19.825,1.575
906,-19.825,1.075
907,-19.825,1.15
908,-19.825,1.375
909,-19.825,1.45
910,-19.825,1.475
911,-19.825,1.275
912,-19.825,1.15
913,-19.825,1.625
914,-19.825,1.825
915,-19.825,1.625
916,-19.825,1.45
917,-19.825,1.575
918,-19.825,1.425
919,-19.825,1.95
920,-19.825,0.65
921,-19.825,0.575
922,-19.825,0.925
923,-19.825,1.45
924,-19.825,1.525
925,-19.825,1.525
926,-19.825,2.075
927,-19.825,1.575
928,-19.825,1.175
929,-19.825,0.775
930,-19.825,1.8
931,-19.825,1.125
932,-19.825,1.5
933,-19.825,1.1
934,-19.825,1.5
935,-19.825,1.425
936,-19.825,1.45
937,-19.825,1.5
938,-19.825,1.175
939,-19.825,1.075
940,-19.85,1.725
941,-19.85,1.225
942,-19.85,1.25
943,-19.85,2.025
944,-19.85,1.575
945,-19.85,1.4
946,-19.85,1.1
947,-19.85,0.825
948,-19.85,1.175
949,-19.85,1.4
950,-19.85,2.15
951,-19.85,1.325
952,-19.85,1.475
953,-19.85,1.4
954,-19.85,1.275
955,-19.85,1.325
956,-19.85,1.025
957,-19.85,1.4
958,-19.85,2.075
959,-19.85,1.525
960,-19.85,1.35
961,-19.85,1.8
962,-19.85,1.5
963,-19.85,1.125
964,-19.85,1.375
965,-19.85,1.525
966,-19.85,0.95
967,-19.85,1.925
968,-19.85,1.8
969,-19.85,1.3
970,-19.85,0.95
971,-19.85,1.575
972,-19.85,1.65
973,-19.85,1.4
974,-19.85,1.1
975,-19.85,1.425
976,-19.85,1.75
977,-19.85,0.775
978,-19.85,1.65
979,-19.85,1.25
980,-19.85,1.4
981,-19.85,1.45
982,-19.85,1.3
983,-19.85,2.175
984,-19.85,1.3
985,-19.85,1.725
986,-19.85,1.825
987,-19.85,1.675
988,-19.85,1.525
989,-19.875,2.025
990,-19.875,1.275
991,-19.875,1.575
992,-19.875,0.8
993,-19.875,1.25
994,-19.875,1.45
995,-19.875,1.725
996,-19.875,1.45
997,-19.875,1.175
998,-19.875,1.05
999,-19.875,1.275
1000,-19.875,1.65
