Experiment: scoreverloop Hillclimber,"randomhillcimber, 3d, sequence 5, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
703,-17.625,1.525
704,-17.625,1.25
705,-17.625,1.35
706,-17.625,1.525
707,-17.625,1.475
708,-17.625,1.575
709,-17.625,2.025
710,-17.625,1.9
711,-17.625,1.175
712,-17.625,1.525
713,-17.625,1.6
714,-17.625,1.8
715,-17.625,1.25
716,-17.625,1.85
717,-17.625,1.675
718,-17.625,1.8
719,-17.625,1.025
720,-17.625,1.2
721,-17.625,1.5
722,-17.625,1.4
723,-17.625,1.3
724,-17.625,1.9
725,-17.625,1.675
726,-17.625,2.175
727,-17.625,1.3
728,-17.625,1.6
729,-17.625,1.55
730,-17.625,1.925
731,-17.625,1.625
732,-17.625,1.525
733,-17.625,1.775
734,-17.625,1.6
735,-17.625,1.875
736,-17.65,1.4
737,-17.65,1.525
738,-17.65,1.9
739,-17.65,1.9
740,-17.65,1.7
741,-17.65,1.225
742,-17.7,1.625
743,-17.7,1.675
744,-17.7,1.7
745,-17.7,1.3
746,-17.7,1.425
747,-17.7,2.0
748,-17.7,1.525
749,-17.7,1.875
750,-17.7,1.65
751,-17.7,2.025
752,-17.7,1.45
753,-17.7,1.8
754,-17.7,1.35
755,-17.7,1.85
756,-17.7,1.925
757,-17.7,1.8
758,-17.7,2.075
759,-17.7,1.925
760,-17.7,1.875
761,-17.7,1.4
762,-17.7,1.7
763,-17.7,1.8
764,-17.7,1.425
765,-17.7,1.775
766,-17.7,1.6
767,-17.7,2.025
768,-17.725,2.375
769,-17.725,1.675
770,-17.725,2.1
771,-17.725,2.0
772,-17.725,1.175
773,-17.725,1.75
774,-17.725,1.325
775,-17.725,2.175
776,-17.725,1.775
777,-17.725,1.525
778,-17.725,2.05
779,-17.725,1.45
780,-17.725,1.55
781,-17.725,2.0
782,-17.725,1.9
783,-17.725,1.775
784,-17.725,2.175
785,-17.725,1.575
786,-17.725,1.8
787,-17.725,1.35
788,-17.725,2.2
789,-17.725,1.85
790,-17.725,2.225
791,-17.725,1.45
792,-17.725,2.3
793,-17.725,2.35
794,-17.725,1.425
795,-17.725,1.75
796,-17.725,1.325
797,-17.725,1.65
798,-17.75,1.5
799,-17.75,1.875
800,-17.75,1.225
801,-17.75,1.9
802,-17.75,1.85
803,-17.775,1.9
804,-17.775,2.65
805,-17.775,1.275
806,-17.775,2.05
807,-17.775,2.15
808,-17.775,1.475
809,-17.775,1.675
810,-17.775,1.65
811,-17.775,1.95
812,-17.775,1.55
813,-17.775,1.775
814,-17.775,1.425
815,-17.775,1.85
816,-17.775,2.475
817,-17.775,1.625
818,-17.775,1.475
819,-17.775,1.65
820,-17.775,1.7
821,-17.775,2.025
822,-17.775,2.125
823,-17.775,1.45
824,-17.775,1.625
825,-17.8,1.975
826,-17.8,1.4
827,-17.8,1.975
828,-17.8,2.45
829,-17.8,1.575
830,-17.8,1.225
831,-17.8,1.675
832,-17.8,1.95
833,-17.9,1.9
834,-17.9,1.85
835,-17.9,1.75
836,-17.9,1.475
837,-17.9,1.5
838,-17.9,2.95
839,-17.9,1.5
840,-17.9,1.75
841,-17.9,1.625
842,-17.9,1.525
843,-17.9,2.05
844,-17.9,1.45
845,-17.9,2.3
846,-17.9,1.65
847,-17.9,2.025
848,-17.9,1.65
849,-17.9,1.225
850,-17.9,1.65
851,-17.9,1.65
852,-17.9,1.55
853,-17.9,2.025
854,-17.9,2.025
855,-17.9,2.075
856,-17.9,1.8
857,-17.9,1.7
858,-17.9,1.575
859,-17.9,2.05
860,-17.9,2.2
861,-17.9,1.525
862,-17.9,1.625
863,-17.925,1.075
864,-17.925,1.575
865,-17.925,2.325
866,-17.95,1.225
867,-17.95,1.875
868,-17.95,2.1
869,-17.95,1.65
870,-17.95,2.0
871,-17.95,2.0
872,-17.95,1.95
873,-17.975,2.575
874,-17.975,1.7
875,-17.975,1.05
876,-17.975,1.4
877,-17.975,2.075
878,-17.975,1.925
879,-18.05,1.925
880,-18.1,1.7
881,-18.1,2.025
882,-18.1,1.75
883,-18.1,1.9
884,-18.1,1.4
885,-18.1,2.125
886,-18.1,1.725
887,-18.1,1.85
888,-18.1,1.575
889,-18.125,2.15
890,-18.125,1.075
891,-18.125,1.875
892,-18.125,2.35
893,-18.125,2.125
894,-18.125,1.475
895,-18.125,1.55
896,-18.125,2.425
897,-18.125,1.775
898,-18.125,1.5
899,-18.125,2.4
900,-18.125,1.75
901,-18.125,2.45
902,-18.125,1.2
903,-18.125,2.025
904,-18.125,1.475
905,-18.125,1.6
906,-18.125,2.25
907,-18.125,1.525
908,-18.125,1.35
909,-18.125,1.375
910,-18.15,1.1
911,-18.15,1.875
912,-18.15,1.675
913,-18.15,1.775
914,-18.15,1.475
915,-18.15,1.975
916,-18.15,1.925
917,-18.15,1.525
918,-18.15,2.1
919,-18.15,1.85
920,-18.15,1.425
921,-18.15,1.55
922,-18.15,1.825
923,-18.15,1.925
924,-18.15,2.225
925,-18.15,2.05
926,-18.15,1.675
927,-18.275,1.9
928,-18.275,2.05
929,-18.275,1.775
930,-18.275,1.575
931,-18.275,1.55
932,-18.275,1.45
933,-18.275,2.025
934,-18.275,2.125
935,-18.275,1.4
936,-18.275,1.9
937,-18.275,2.0
938,-18.275,2.15
939,-18.275,1.975
940,-18.275,1.975
941,-18.275,2.05
942,-18.275,1.65
943,-18.275,1.4
944,-18.275,1.475
945,-18.275,1.5
946,-18.275,1.875
947,-18.275,1.825
948,-18.275,1.275
949,-18.275,1.875
950,-18.275,0.825
951,-18.275,1.8
952,-18.275,1.475
953,-18.275,2.475
954,-18.275,1.85
955,-18.275,1.45
956,-18.275,1.35
957,-18.275,2.125
958,-18.275,1.85
959,-18.275,1.975
960,-18.275,1.65
961,-18.275,1.75
962,-18.275,1.825
963,-18.275,1.4
964,-18.275,1.725
965,-18.275,1.35
966,-18.275,1.75
967,-18.275,1.975
968,-18.275,1.825
969,-18.275,1.875
970,-18.275,2.025
971,-18.275,2.125
972,-18.275,1.375
973,-18.275,2.125
974,-18.275,1.6
975,-18.275,2.0
976,-18.275,1.75
977,-18.275,1.45
978,-18.275,1.425
979,-18.275,1.5
980,-18.275,1.475
981,-18.275,1.225
982,-18.275,1.9
983,-18.275,1.35
984,-18.275,1.275
985,-18.275,2.325
986,-18.275,2.1
987,-18.275,1.925
988,-18.275,1.925
989,-18.275,1.9
990,-18.275,1.55
991,-18.275,1.65
992,-18.275,1.875
993,-18.275,1.9
994,-18.275,1.425
995,-18.3,3.025
996,-18.3,2.55
997,-18.3,1.525
998,-18.3,1.6
999,-18.3,2.275
1000,-18.3,2.35
